RNCID_1,CellID_1,Lon,Lat,type
6188,26051,121.211928,31.288649,
6188,25105,121.211975,31.276588,
6188,27378,121.208284,31.289647,
6188,27395,121.208105,31.289402,
6188,27394,121.208105,31.289402,
6182,41139,121.223131,31.287758,
6188,26050,121.211928,31.288649,
6188,27377,121.208284,31.289647,
6188,41146,121.209638,31.285875,
6188,26049,121.211928,31.288649,
6182,41233,121.217245,31.291334,
6182,41235,121.206155,31.294312,
6182,13666,121.191709,31.287846,
6188,21329,121.203915,31.280386,
6188,21331,121.203915,31.280386,
6188,27393,121.208105,31.289402,
6188,25761,121.224621,31.278733,
6188,25089,121.211975,31.276588,
6188,40957,121.198241,31.279433,
6182,13698,121.191709,31.287846,
6182,44771,121.22292,31.287199,
6188,41076,121.220772,31.275301,
6188,41149,121.214295,31.280418,
6188,41094,121.218479,31.276852,
6188,41092,121.217871,31.2808,
6188,41124,121.212407,31.282261,
6188,41123,121.218509,31.286137,
6188,41148,121.218285,31.288788,
6188,41122,121.216448,31.2893,
6188,41055,121.216674,31.287692,
5198,16058,121.220639,31.281873,
6188,22673,121.213001,31.289531,
6182,41503,121.220505,31.290893,
5198,20608,121.221072,31.257603,
5198,17029,121.221816,31.293837,
5198,16059,121.209767,31.284987,
6188,27379,121.208284,31.289647,
5198,38198,121.206769,31.28681,
5198,25312,121.217402,31.281802,
6182,13394,121.202787,31.292964,
6182,44772,121.222617,31.290824,
5198,36811,121.210909,31.27847,
6188,25633,121.215471,31.274783,
6182,44757,121.213913,31.291614,
6182,44754,121.212896,31.291805,
6188,20865,121.205655,31.277705,
6188,27361,121.213131,31.283388,
6182,44775,121.223129,31.291293,
6188,41127,121.233326,31.274399,
6182,44770,121.223233,31.287403,
6188,41154,121.217258,31.277603,
6188,27314,121.218167,31.28458,
6188,41150,121.2048,31.285646,
6182,40819,121.200112,31.285283,
6188,41152,121.215012,31.286106,
5198,49663,121.221488,31.282112,
5198,64581,121.246342,31.274067,
5198,16237,121.223069,31.282024,
5198,41518,121.191743,31.278703,
6188,41102,121.221804,31.280844,
6151,14542,121.29599,31.276411,new
6188,25859,121.233472,31.273558,
5198,16057,121.221136,31.293876,
5198,38197,121.198321,31.29532,
5198,32914,121.184069,31.245564,
6182,41581,121.198969,31.306504,
6182,40789,121.193621,31.295138,
6188,41075,121.223293,31.284386,
6182,41607,121.218675,31.293412,
5198,16519,121.21814,31.304538,
5198,20609,121.220501,31.276284,
5198,64092,121.23006,31.302692,
6188,25763,121.218483,31.276604,
6188,20897,121.205033,31.285474,
6188,41118,121.220457,31.275258,
5198,49472,121.217445,31.26552,
5198,17739,121.250353,31.286697,
5198,23603,121.246283,31.296038,
6188,41093,121.206472,31.284913,
6188,41091,121.211384,31.291563,
6182,44755,121.199111,31.293906,
6188,40967,121.211559,31.28031,
6188,41121,121.219802,31.274576,
5198,16367,121.171706,31.262516,
6188,41065,121.226176,31.287765,
5198,25311,121.220183,31.278542,
6182,41525,121.22085,31.287944,
6182,44774,121.232269,31.291447,
6168,40025,121.239591,31.270239,
6188,25090,121.218437,31.276628,
6182,41514,121.221974,31.309473,
6182,41234,121.210058,31.291577,
6188,41116,121.225939,31.278434,
5198,49471,121.214895,31.270649,
5198,63811,121.247549,31.275009,
5198,1178,121.211671,31.287247,
5198,32925,121.209703,31.265739,
6188,41119,121.226614,31.273554,
6182,44753,121.206402,31.307533,
5198,49661,121.223022,31.288829,
6182,41155,121.223256,31.276181,
6182,41520,121.221986,31.300701,
6183,40896,121.220054,31.316124,
6182,41510,121.182915,31.310633,
6182,41567,121.221982,31.298528,
6188,40952,121.21082,31.279706,
5198,47653,121.252905,31.249036,
5198,16239,121.218191,31.269995,
6188,25187,121.221183,31.275122,
6182,13393,121.200797,31.294397,
5198,23511,121.224303,31.290044,
5198,35663,121.242058,31.281039,
5198,1188,121.214195,31.288478,
6188,41100,121.223173,31.288895,
5198,32924,121.187941,31.278148,
5198,39791,121.249283,31.267927,
6182,41137,121.222863,31.290584,
6182,41594,121.239263,31.290122,
6168,39996,121.24518,31.282628,
6188,41085,121.216261,31.262635,
5198,46478,121.177727,31.287929,
5198,12438,121.164142,31.28892,
5198,17067,121.2329,31.302253,
6188,41017,121.211232,31.279999,
6182,44758,121.198949,31.294939,
6182,13395,121.199638,31.293348,
6181,41286,121.244161,31.260716,
5198,16548,121.177765,31.294565,
5198,1186,121.214195,31.287784,
6188,25106,121.218463,31.27662,
6188,27313,121.218205,31.284062,
6188,20867,121.191678,31.283642,
5198,30443,121.24243,31.331649,new
6188,20993,121.204537,31.262129,
2188,50872,121.262196,31.281743,new
5198,63931,121.260681,31.270904,new
5198,56689,121.211317,31.291577,
5198,1187,121.220609,31.294733,
5198,42518,121.218148,31.288526,
5198,56688,121.22677,31.297156,
5198,42517,121.218883,31.292806,
5198,42507,121.221928,31.289447,
5198,42519,121.217792,31.288293,
5198,44572,121.228681,31.256506,
5198,49989,121.217371,31.291607,
5198,42508,121.226213,31.283596,
5198,49988,121.228847,31.298519,
5198,42509,121.223001,31.284943,
5198,50809,121.229014,31.288648,
5198,50807,121.229283,31.292171,
5198,43857,121.2145,31.290457,
5198,43858,121.217796,31.28377,
5198,56687,121.21968,31.299609,
6151,14547,121.252311,31.307494,
6151,14553,121.308629,31.26965,
6188,41067,121.228703,31.288738,
5198,57368,121.207295,31.294584,
5198,64742,121.228481,31.307493,
5198,46199,121.240644,31.324602,
6188,41147,121.224491,31.296325,
6182,1941,121.217388,31.297609,
5198,51498,121.204431,31.292257,
5198,57857,121.229872,31.277747,
5198,48418,121.228638,31.308957,
5198,56877,121.229981,31.280819,
5198,50808,121.227571,31.283401,
5198,42749,121.229613,31.293263,
6188,41155,121.225966,31.280947,
5198,57367,121.203442,31.299296,
5198,43518,121.216159,31.320659,
5198,1177,121.220609,31.294733,
